SushiSwap;SUSHI;https://coinmarketcap.com/currencies/sushiswap/;20363
Qtum;QTUM;https://coinmarketcap.com/currencies/qtum/;13.21
yearn.finance;YFI;https://coinmarketcap.com/currencies/yearn-finance/;35286.75
TrueUSD;TUSD;https://coinmarketcap.com/currencies/trueusd/;1.00
dYdX;DYDX;https://coinmarketcap.com/currencies/dydx/;22.66
Curve DAO Token;CRV;https://coinmarketcap.com/currencies/curve-dao-token/;33635
Huobi Token;HT;https://coinmarketcap.com/currencies/huobi-token/;19541
Bitcoin Gold;BTG;https://coinmarketcap.com/currencies/bitcoin-gold/;69.61
Perpetual Protocol;PERP;https://coinmarketcap.com/currencies/perpetual-protocol/;17.64
Flow;FLOW;https://coinmarketcap.com/currencies/flow/;18.81
Telcoin;TEL;https://coinmarketcap.com/currencies/telcoin/;0.02
Zilliqa;ZIL;https://coinmarketcap.com/currencies/zilliqa/;0.10
Mina;MINA;https://coinmarketcap.com/currencies/mina/;13606
Synthetix;SNX;https://coinmarketcap.com/currencies/synthetix-network-token/;28004
Ravencoin;RVN;https://coinmarketcap.com/currencies/ravencoin/;0.11
Basic Attention Token;BAT;https://coinmarketcap.com/currencies/basic-attention-token/;0.70
Serum;SRM;https://coinmarketcap.com/currencies/serum/;22828
Ren;REN;https://coinmarketcap.com/currencies/ren/;44197
IOST;IOST;https://coinmarketcap.com/currencies/iostoken/;0.05
OKB;OKB;https://coinmarketcap.com/currencies/okb/;16.37
renBTC;RENBTC;https://coinmarketcap.com/currencies/renbtc/;57530.32
Mdex;MDX;https://coinmarketcap.com/currencies/mdex/;13516
